Student_ID,Name,Father_Name,Mother_Name,Age,Gender,Class,Section,Roll_Number,City,State,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Screen_Time_Hours,Internet_Access,Owns_Smartphone,Tuition,Family_Income_Level,Parents_Education,Number_of_Siblings,Favourite_Subject,Least_Favourite_Subject,Favourite_Game,Favourite_Food,Food_Type,Career_Goal,Transportation_Mode,Skill_1,Skill_2,Participation_Activity,Sports_Participation,Library_Visits_Per_Month,Assignments_Completed,Projects_Completed,Homework_Submission_Rate,Discipline_Record,Stress_Level,Mental_Wellbeing_Score,Peer_Interaction_Score,Teacher_Feedback,Maths_Marks,Science_Marks,English_Marks,Hindi_Marks,Social_Science_Marks,Computer_Marks,Overall_Percentage,Result,Performance_Level
STU00011,Nirvaan Chander,Nishith Sharma,Zara Savant,13.0,Male,11th,A,13.0,Delhi,Maharashtra,50.55,4.4,4.6,2.2,No,Yes,Yes,Low,Secondary,2.0,English,,,Pasta,Non-Vegetarian,Scientist,Auto,Critical Thinking,Video Editing,NCC,,6.0,14.0,12.0,89.15,Poor,High,9.0,3.0,Needs Improvement,,86.0,36.0,68.0,75.0,40.0,60.67,Pass,Average
STU00012,Uthkarsh Saraf,Kabir Sarna,,15.0,Male,7th,A,19.0,Hyderabad,Uttar Pradesh,80.17,7.8,8.2,9.8,No,Yes,Yes,Medium,Secondary,,Social Science,Computer,Basketball,,Non-Vegetarian,Artist,Private Vehicle,Graphic Design,Graphic Design,NCC,Yes,0.0,11.0,6.0,71.04,Poor,High,10.0,3.0,Needs Improvement,100.0,76.0,99.0,44.0,94.0,42.0,75.83,Fail,
STU00013,Mehul Garde,Ela Issac,Veer Kamdar,17.0,,12th,D,13.0,Delhi,Rajasthan,76.24,1.8,6.0,3.5,,No,Yes,Medium,Secondary,0.0,Science,English,Badminton,Burger,Vegan,,Walking,Python,,Dance,Yes,5.0,7.0,10.0,92.19,Average,Medium,2.0,5.0,Average,68.0,76.0,67.0,,69.0,46.0,69.67,Pass,Average
STU00014,Biju Edwin,,Azad Sabharwal,,Female,12th,C,33.0,Lucknow,Rajasthan,54.34,4.3,9.0,5.6,No,No,No,Medium,Secondary,4.0,Social Science,Hindi,Volleyball,Paneer,Vegetarian,Scientist,Private Vehicle,Communication,Leadership,Coding Club,No,10.0,11.0,5.0,42.9,Good,High,8.0,3.0,,36.0,38.0,80.0,64.0,39.0,40.0,49.5,,Poor
STU00015,Mohanlal Chawla,Hunar Dayal,Nishith Ahluwalia,12.0,Male,,C,26.0,Pune,Uttar Pradesh,80.66,3.9,,1.8,No,No,Yes,High,Post Graduate,2.0,Science,,Hockey,Pasta,Vegetarian,Engineer,Private Vehicle,Creativity,Public Speaking,Music,No,18.0,11.0,2.0,62.91,Good,Medium,3.0,8.0,Average,78.0,93.0,96.0,85.0,36.0,50.0,73.0,Pass,Good
STU00016,Urvi Chaudhari,Dhruv Gade,Saksham D’Alia,10.0,Male,6th,,53.0,Bhopal,Uttar Pradesh,51.19,3.7,4.9,3.0,No,Yes,Yes,Medium,Post Graduate,1.0,Computer,Social Science,Kabaddi,Pizza,Vegan,Scientist,Private Vehicle,Python,Public Speaking,Science Fair,Yes,7.0,21.0,8.0,87.63,Average,High,9.0,7.0,Excellent,,98.0,96.0,65.0,91.0,56.0,74.17,Pass,Good
,Divij Swaminathan,Heer Halder,Jivin Bhakta,11.0,Male,,A,44.0,Delhi,Madhya Pradesh,85.9,4.4,,7.9,Yes,No,No,,Secondary,2.0,Hindi,Maths,Football,Burger,Vegan,Teacher,Bus,Python,Creativity,Drama,No,9.0,4.0,11.0,45.45,Average,Medium,2.0,7.0,Average,56.0,,71.0,50.0,61.0,77.0,68.33,Pass,Average
STU00018,Miraya Mahajan,Rania Grewal,Kismat Bava,12.0,Male,11th,D,5.0,Delhi,Uttar Pradesh,76.86,5.7,8.4,6.6,,Yes,No,,Primary,3.0,Social Science,Computer,Kabaddi,Dosa,Vegan,Doctor,Bus,Communication,Critical Thinking,,Yes,10.0,9.0,8.0,93.0,,Medium,7.0,1.0,Good,60.0,99.0,43.0,85.0,87.0,72.0,74.33,Pass,Good
STU00019,Shray Kata,Trisha Gola,Jiya Tara,6.0,Male,4th,C,31.0,Indore,Telangana,89.99,,9.2,4.7,No,Yes,Yes,Low,Primary,1.0,Science,English,Athletics,Pizza,Non-Vegetarian,,Bus,Communication,Public Speaking,Drama,Yes,14.0,,9.0,44.03,Average,High,5.0,6.0,Excellent,67.0,,98.0,66.0,93.0,45.0,72.83,Pass,Good
STU00020,Taimur Thaker,Hridaan Magar,Hrishita Kala,15.0,Female,7th,C,9.0,Patna,Madhya Pradesh,57.06,8.0,5.2,9.0,Yes,Yes,,Low,Primary,4.0,Computer,Social Science,Badminton,Dosa,Vegan,Business,Bus,Communication,Video Editing,Science Fair,Yes,1.0,17.0,6.0,78.87,Poor,Low,5.0,8.0,Good,73.0,77.0,73.0,92.0,53.0,94.0,77.0,Pass,Good
STU00021,Samaira Gaba,Eva Ray,Onkar Sem,14.0,,3rd,C,,Delhi,Maharashtra,51.39,5.5,9.3,2.5,Yes,Yes,No,Low,Secondary,4.0,Hindi,,Chess,,Non-Vegetarian,Business,Private Vehicle,,Leadership,Art Club,Yes,,13.0,9.0,54.03,,High,8.0,1.0,Needs Improvement,80.0,92.0,83.0,76.0,92.0,88.0,85.17,Fail,Excellent
STU00022,Anvi Bhakta,Kaira Goyal,Tejas Jhaveri,15.0,,6th,B,16.0,Delhi,,63.06,3.3,8.5,1.8,No,No,No,High,Secondary,4.0,Hindi,Maths,Tennis,Paneer,Non-Vegetarian,Engineer,Walking,Creativity,Teamwork,Art Club,Yes,20.0,12.0,9.0,99.45,Good,High,5.0,8.0,Good,49.0,57.0,81.0,37.0,48.0,70.0,57.0,Pass,Average
STU00023,Heer Doctor,Riya Date,Samarth Basu,,Female,8th,C,,Lucknow,Madhya Pradesh,57.45,,4.2,2.0,Yes,Yes,Yes,Low,Graduate,1.0,Hindi,Hindi,Chess,Dosa,Vegetarian,Engineer,,Problem Solving,Video Editing,Debate Club,,9.0,24.0,1.0,57.45,Good,Low,1.0,9.0,Needs Improvement,61.0,,80.0,48.0,39.0,91.0,68.0,Fail,Average
STU00024,Siya Hans,Ritvik Rattan,Nitya Shankar,11.0,Female,7th,B,27.0,Patna,Madhya Pradesh,,7.4,4.1,7.9,,No,Yes,Medium,Secondary,3.0,Hindi,Hindi,Volleyball,Paneer,Non-Vegetarian,Athlete,Bus,Graphic Design,Communication,NCC,Yes,17.0,19.0,10.0,58.98,Good,Low,1.0,9.0,Needs Improvement,99.0,85.0,81.0,71.0,71.0,77.0,80.67,Pass,
STU00025,Aarav Bora,Indrans Chatterjee,Nakul Subramanian,7.0,Male,5th,D,21.0,,Gujarat,70.96,5.0,8.2,1.3,Yes,No,No,Medium,Primary,2.0,English,Computer,Tennis,,Vegan,Teacher,Private Vehicle,Python,Problem Solving,Science Fair,No,18.0,1.0,2.0,40.47,,Low,7.0,9.0,Good,64.0,78.0,,39.0,72.0,70.0,66.5,Fail,Average
STU00026,Dhanuk Balay,Dhruv Taneja,Vedika Rajagopal,8.0,Female,6th,A,42.0,Pune,Gujarat,87.36,7.8,5.7,,No,Yes,Yes,Low,Primary,1.0,Hindi,English,Cricket,Dosa,Non-Vegetarian,,Walking,Leadership,Critical Thinking,Debate Club,No,14.0,7.0,8.0,75.47,Poor,Medium,3.0,7.0,Good,40.0,,97.0,70.0,70.0,76.0,69.0,Pass,Average
STU00027,Devansh Srinivasan,Shayak Mahajan,,16.0,Male,9th,C,1.0,Lucknow,Maharashtra,56.77,1.6,7.8,5.5,No,,Yes,High,Graduate,5.0,,Social Science,Chess,Paneer,Non-Vegetarian,Athlete,Walking,Video Editing,Problem Solving,Science Fair,Yes,0.0,20.0,8.0,71.34,Good,Medium,1.0,9.0,Average,67.0,83.0,,74.0,78.0,55.0,71.83,Pass,Good
,Yakshit Chaudhari,Riaan Sangha,Ritvik Dora,15.0,Male,9th,D,,Bhopal,Telangana,81.42,2.6,5.6,6.1,Yes,Yes,No,Low,Secondary,3.0,Social Science,Hindi,Basketball,Paneer,Non-Vegetarian,Teacher,Cycle,Problem Solving,Critical Thinking,Coding Club,Yes,5.0,17.0,1.0,63.49,Good,Medium,10.0,1.0,Needs Improvement,,40.0,84.0,48.0,100.0,60.0,66.5,Pass,Average
STU00029,Mohanlal Mand,Madhup Gill,Ivan Gokhale,12.0,Male,9th,B,53.0,,Uttar Pradesh,,2.5,5.7,,No,No,No,Medium,,,Social Science,Computer,Chess,Biryani,Vegetarian,Business,,Problem Solving,Communication,Debate Club,No,7.0,12.0,6.0,67.69,Good,Medium,5.0,1.0,Good,56.0,,96.0,77.0,93.0,,79.5,Fail,Good
STU00030,Ira Saran,Gatik Bhattacharyya,Hunar Devan,13.0,Male,10th,,,Delhi,Rajasthan,53.72,7.0,,5.7,No,No,No,High,Post Graduate,1.0,Computer,English,Hockey,Biryani,Non-Vegetarian,Teacher,Cycle,Video Editing,Problem Solving,Dance,Yes,14.0,14.0,12.0,79.1,Good,High,7.0,3.0,Good,92.0,38.0,52.0,95.0,69.0,63.0,68.17,Pass,Average
STU00031,Faiyaz Bhatia,Anika Mahajan,Vaibhav Bansal,14.0,Female,12th,B,36.0,Bhopal,Gujarat,68.55,7.9,5.7,7.1,Yes,No,Yes,Medium,Primary,4.0,English,Hindi,Hockey,Pasta,Non-Vegetarian,Engineer,Auto,Graphic Design,Video Editing,Quiz Competition,Yes,20.0,5.0,11.0,72.71,Average,Low,4.0,8.0,Average,83.0,75.0,44.0,48.0,85.0,99.0,72.33,Pass,Good
STU00032,Aayush Gokhale,Madhav Samra,Onkar Sanghvi,8.0,Male,5th,C,47.0,Delhi,Maharashtra,76.36,1.1,8.5,2.8,No,Yes,No,High,Primary,1.0,Hindi,Computer,Football,Burger,Vegetarian,Scientist,Private Vehicle,Leadership,Python,Dance,No,,5.0,12.0,84.42,Good,High,6.0,10.0,Good,83.0,95.0,77.0,37.0,39.0,46.0,,Pass,Average
STU00033,Zaina Barman,Kartik Mall,Oorja Shah,17.0,,1st,A,14.0,Mumbai,Maharashtra,55.74,,5.7,2.9,Yes,No,Yes,Low,Primary,4.0,English,Science,Basketball,Pasta,Vegan,Engineer,Cycle,,Teamwork,Quiz Competition,No,5.0,0.0,8.0,61.91,Average,Medium,9.0,2.0,Average,60.0,,53.0,87.0,85.0,70.0,68.17,Pass,Average
STU00034,Stuvan Kulkarni,Mohanlal Ratti,Shlok Kumar,6.0,Female,12th,A,6.0,Bhopal,Maharashtra,89.79,1.6,8.0,3.0,No,No,No,High,Graduate,4.0,English,English,,,,Engineer,Bus,Creativity,Creativity,Science Fair,No,2.0,18.0,3.0,,Good,Medium,2.0,,,74.0,98.0,48.0,44.0,53.0,88.0,67.5,Pass,Average
STU00035,Aniruddh Suri,Akarsh Behl,Hazel Vohra,12.0,,9th,,33.0,Pune,Gujarat,81.03,2.1,9.6,6.9,No,Yes,Yes,Medium,Graduate,5.0,Science,Science,Kabaddi,Paneer,Vegan,,Auto,Critical Thinking,Python,Sports Club,No,14.0,1.0,4.0,,,High,6.0,7.0,Good,60.0,,85.0,50.0,51.0,86.0,71.17,Fail,Good
STU00036,,Ranbir Sehgal,Rohan Aurora,9.0,Female,3rd,B,43.0,Delhi,Rajasthan,76.81,6.2,9.7,3.4,No,Yes,No,,Post Graduate,0.0,Maths,,Volleyball,Pizza,Vegan,Teacher,Private Vehicle,Teamwork,Leadership,Dance,Yes,14.0,8.0,5.0,43.16,Poor,High,2.0,,Good,75.0,82.0,36.0,97.0,93.0,57.0,,Pass,Good
STU00037,Nitya Lad,,Emir Anne,13.0,Female,,A,2.0,Lucknow,Gujarat,58.55,4.5,8.3,5.7,Yes,No,Yes,Low,Post Graduate,2.0,Social Science,Computer,Chess,Dosa,Vegan,Athlete,Cycle,Communication,Graphic Design,Music,No,1.0,6.0,12.0,53.5,Poor,Low,9.0,2.0,Average,37.0,76.0,83.0,47.0,87.0,58.0,64.67,Pass,Average
STU00038,Ritvik Suresh,Ishaan Chhabra,,9.0,,8th,C,18.0,Patna,Maharashtra,61.51,7.7,6.0,7.1,Yes,No,Yes,Medium,Graduate,0.0,English,Computer,Kabaddi,Pasta,Vegetarian,Engineer,Walking,Critical Thinking,Creativity,NCC,Yes,8.0,0.0,8.0,84.05,Poor,Medium,10.0,,Average,41.0,,72.0,71.0,88.0,100.0,68.33,Pass,Average
STU00039,Azad Chakrabarti,Anay Setty,Ela Bava,16.0,Female,11th,B,2.0,,Telangana,69.26,4.7,,5.1,Yes,Yes,Yes,High,Secondary,2.0,Computer,Social Science,Athletics,Dosa,Non-Vegetarian,Artist,Auto,Public Speaking,Creativity,Dance,No,14.0,,9.0,43.08,Good,Low,6.0,7.0,Average,72.0,76.0,67.0,95.0,78.0,95.0,80.5,Fail,Good
STU00040,Tiya Taneja,,Heer Talwar,6.0,,8th,A,15.0,Lucknow,Rajasthan,69.94,7.4,6.7,1.6,No,Yes,No,Low,Post Graduate,3.0,Computer,Maths,Athletics,Burger,Vegetarian,IAS,Cycle,Communication,Graphic Design,Art Club,Yes,,14.0,6.0,99.94,Poor,Medium,5.0,2.0,Average,53.0,65.0,,,97.0,92.0,79.0,Pass,Good
STU00041,,Neelofar Atwal,Saksham Dubey,16.0,Female,11th,A,43.0,Indore,Uttar Pradesh,99.98,,5.6,5.3,Yes,No,Yes,Medium,Post Graduate,0.0,Science,Science,Cricket,Paneer,Non-Vegetarian,Artist,Bus,Creativity,Creativity,NCC,No,9.0,11.0,,52.08,Average,Low,1.0,3.0,Needs Improvement,57.0,58.0,51.0,85.0,97.0,82.0,71.67,Pass,Good
STU00042,Neysa Apte,Yuvaan Dhaliwal,Oorja Deo,10.0,Female,9th,C,39.0,,Rajasthan,86.85,2.2,4.9,4.2,Yes,No,No,Low,Graduate,3.0,Maths,Social Science,Hockey,Pizza,Non-Vegetarian,Business,Auto,Python,Public Speaking,Art Club,No,17.0,22.0,12.0,63.94,Poor,Low,,,,47.0,41.0,89.0,95.0,60.0,51.0,63.83,Pass,Average
STU00043,Rati Kurian,Ranbir Dara,Pihu Buch,15.0,Female,10th,B,44.0,Hyderabad,Telangana,96.59,4.8,6.7,5.6,Yes,Yes,No,Low,Graduate,0.0,English,Computer,Tennis,Burger,Non-Vegetarian,,Auto,Teamwork,Graphic Design,Science Fair,No,17.0,14.0,9.0,95.9,Average,Medium,1.0,5.0,Needs Improvement,43.0,54.0,70.0,79.0,99.0,56.0,66.83,Pass,Average
STU00044,Pihu Gole,,,11.0,Male,7th,B,54.0,Jaipur,Madhya Pradesh,52.5,7.1,5.8,6.1,Yes,Yes,Yes,Low,Post Graduate,5.0,English,English,,Burger,Vegan,Engineer,Bus,Leadership,Communication,Debate Club,Yes,4.0,14.0,,76.77,Poor,,4.0,8.0,Needs Improvement,76.0,,76.0,69.0,94.0,64.0,69.67,Pass,Average
STU00045,Rasha Thaker,Romil Badal,,9.0,Male,8th,B,9.0,Mumbai,Rajasthan,,1.0,6.3,2.8,No,No,No,Low,Primary,1.0,,Science,Chess,Dosa,Vegetarian,Artist,Bus,Communication,Leadership,Science Fair,Yes,,,2.0,,Average,High,6.0,10.0,Average,86.0,75.0,92.0,83.0,97.0,41.0,79.0,Fail,Good
STU00046,Sumer Chakraborty,Faiyaz Ranganathan,,18.0,Female,9th,A,31.0,Jaipur,Uttar Pradesh,87.48,4.3,,9.8,No,Yes,No,High,Secondary,0.0,Science,Hindi,Kabaddi,Biryani,Vegetarian,Teacher,Walking,Python,Communication,Art Club,Yes,3.0,19.0,6.0,69.64,Good,Low,4.0,,Average,58.0,52.0,62.0,,70.0,48.0,57.83,Pass,Average
STU00047,Hansh Sagar,Yuvaan Mallick,Siya Srivastava,17.0,Male,6th,D,25.0,Lucknow,Gujarat,91.38,2.9,9.3,3.5,Yes,Yes,Yes,Medium,Graduate,4.0,Hindi,Computer,Badminton,Pasta,Vegetarian,Artist,Cycle,Leadership,Creativity,Science Fair,No,0.0,24.0,12.0,56.89,Poor,High,,2.0,Good,49.0,77.0,,77.0,82.0,70.0,75.17,Fail,Good
STU00048,Indrans Vohra,,,12.0,Female,2nd,C,7.0,Delhi,Uttar Pradesh,75.24,4.1,6.6,5.9,,Yes,Yes,,Secondary,5.0,Maths,Social Science,Cricket,Burger,Vegetarian,Business,,Problem Solving,Video Editing,Music,No,12.0,,2.0,98.87,Poor,High,10.0,9.0,Average,96.0,40.0,58.0,78.0,37.0,88.0,66.17,Pass,Average
STU00049,Taimur Shankar,Samaira Dhillon,Advika Walla,18.0,Male,11th,A,50.0,Ahmedabad,Uttar Pradesh,83.55,2.4,6.1,,No,No,No,High,Post Graduate,0.0,Computer,Maths,Badminton,Biryani,Vegan,Artist,,Critical Thinking,Critical Thinking,Sports Club,No,7.0,24.0,3.0,92.08,Good,High,7.0,3.0,Needs Improvement,63.0,68.0,94.0,97.0,54.0,82.0,76.33,Pass,Good
STU00050,Indrans Butala,Indranil Gera,Drishya Mammen,15.0,Male,,C,39.0,Delhi,Uttar Pradesh,76.85,2.5,,9.1,Yes,No,No,Low,Post Graduate,0.0,Computer,Social Science,Chess,Burger,Vegan,Artist,Bus,Teamwork,,Dance,No,13.0,13.0,1.0,97.24,Poor,Low,9.0,3.0,Good,94.0,96.0,97.0,38.0,50.0,,72.17,Pass,Good
STU00051,Ishaan Taneja,,Adira Ramanathan,9.0,Male,1st,C,45.0,Delhi,,74.58,2.9,7.8,7.2,No,No,Yes,Low,Graduate,3.0,Computer,Social Science,Chess,Biryani,Vegan,Business,Walking,Communication,Critical Thinking,,Yes,,22.0,8.0,50.0,Good,Low,5.0,5.0,Needs Improvement,56.0,45.0,51.0,60.0,,75.0,63.17,Pass,Average
,Arnav Gopal,Zaina Chahal,Vanya Wable,14.0,Female,2nd,C,2.0,,Rajasthan,84.47,5.6,5.4,6.3,Yes,Yes,No,High,Post Graduate,1.0,Social Science,Science,Cricket,Biryani,Vegan,Athlete,,Problem Solving,Graphic Design,Dance,No,15.0,25.0,8.0,65.98,Good,High,7.0,7.0,Excellent,76.0,91.0,70.0,86.0,37.0,,68.83,Fail,Average
STU00053,,,Navya Mane,18.0,,,D,,Indore,Maharashtra,63.39,6.1,5.4,,Yes,No,No,High,Post Graduate,2.0,Maths,Computer,Football,Dosa,Non-Vegetarian,Business,Auto,Teamwork,Python,Art Club,Yes,20.0,8.0,3.0,95.92,,High,2.0,,Excellent,86.0,56.0,64.0,,62.0,42.0,60.5,Pass,Average
STU00054,Ivan Agrawal,Raghav Sen,Ivan Sarna,15.0,,9th,,56.0,Mumbai,,96.18,6.7,6.5,6.1,,No,No,Medium,Post Graduate,2.0,English,Science,Athletics,Burger,Vegan,Teacher,Cycle,Problem Solving,Python,Music,Yes,,16.0,10.0,80.65,Good,High,3.0,7.0,Good,57.0,97.0,36.0,38.0,60.0,37.0,54.17,Pass,Average
STU00055,Jivika Chaudry,Devansh Baria,Madhav Kannan,15.0,Female,10th,D,14.0,Jaipur,Maharashtra,76.17,3.7,5.2,8.6,Yes,No,Yes,Low,Primary,3.0,,Hindi,Hockey,Pizza,Vegetarian,IAS,Cycle,Critical Thinking,Leadership,Sports Club,No,,18.0,4.0,97.93,Good,Medium,2.0,,,66.0,85.0,89.0,96.0,73.0,69.0,79.67,Pass,Good
STU00056,Biju Bhat,Divit Grewal,,12.0,Female,2nd,C,25.0,Hyderabad,Gujarat,52.15,2.9,8.1,,No,,Yes,High,Graduate,0.0,Science,Maths,Chess,Paneer,Vegetarian,Teacher,,Python,Teamwork,Music,No,4.0,6.0,5.0,96.35,Poor,Medium,1.0,2.0,,57.0,44.0,94.0,48.0,49.0,53.0,57.5,Pass,Average
STU00057,Jiya Shanker,Lakshit Behl,Jivin Shan,9.0,Male,6th,D,31.0,Bhopal,Uttar Pradesh,80.81,4.7,4.8,7.9,Yes,Yes,No,High,Graduate,0.0,Hindi,English,Hockey,Pizza,Non-Vegetarian,Athlete,Private Vehicle,Communication,Graphic Design,,Yes,8.0,22.0,8.0,63.18,Average,Low,1.0,10.0,Good,,37.0,89.0,84.0,82.0,75.0,73.0,Fail,Good
,Drishya Aurora,Pari Gill,Badal Chandra,9.0,Female,9th,C,3.0,Lucknow,Rajasthan,55.96,1.3,7.1,6.0,Yes,Yes,No,Low,Secondary,1.0,Computer,Social Science,Basketball,Burger,Non-Vegetarian,Business,Private Vehicle,Critical Thinking,Leadership,Dance,No,12.0,,,80.35,Poor,,4.0,2.0,Needs Improvement,80.0,37.0,71.0,48.0,80.0,91.0,67.83,Pass,Average
STU00059,Azad Yadav,Anahi Kapadia,Anya Biswas,6.0,Male,6th,A,33.0,Ahmedabad,Maharashtra,89.06,3.9,7.6,,No,Yes,Yes,High,Graduate,1.0,Maths,,Football,Dosa,Non-Vegetarian,Athlete,Auto,Python,Teamwork,Dance,Yes,12.0,7.0,7.0,45.93,Average,Low,5.0,9.0,Average,91.0,95.0,93.0,75.0,71.0,71.0,82.67,Fail,Good
STU00060,Saksham Johal,Bhamini Gala,Eva Singh,13.0,Female,9th,B,50.0,Lucknow,Rajasthan,95.54,,7.4,8.7,No,No,No,,Graduate,3.0,Hindi,English,Football,Biryani,Vegetarian,Engineer,Cycle,Critical Thinking,Graphic Design,,No,2.0,22.0,4.0,73.67,Average,High,2.0,10.0,Needs Improvement,48.0,,90.0,36.0,40.0,75.0,57.0,Pass,Average
STU00061,Arnav Desai,Azad Saini,,6.0,Female,9th,C,25.0,Delhi,Uttar Pradesh,92.1,6.3,8.1,4.4,,,Yes,Low,Secondary,2.0,English,Maths,,Pizza,Non-Vegetarian,Doctor,Walking,Creativity,Creativity,,No,3.0,,6.0,51.07,Good,Medium,,2.0,Average,55.0,40.0,72.0,49.0,44.0,62.0,53.67,Pass,Average
,Ahana  Sule,Indrajit Sundaram,Armaan Dixit,9.0,Male,11th,C,3.0,Patna,Madhya Pradesh,79.27,3.1,6.9,4.7,No,No,No,Low,Primary,1.0,English,Maths,Football,Pasta,Vegetarian,Engineer,Walking,Graphic Design,Problem Solving,Debate Club,No,7.0,17.0,11.0,60.25,Poor,High,,6.0,Good,91.0,57.0,81.0,36.0,69.0,68.0,67.0,Pass,Average
STU00063,Alisha Sant,Ivana Varkey,Shlok Shah,10.0,Male,10th,C,31.0,,Madhya Pradesh,87.56,5.5,6.1,2.2,No,No,,Low,,4.0,Maths,Hindi,Football,Pizza,Non-Vegetarian,,Bus,Leadership,Leadership,Sports Club,Yes,10.0,9.0,2.0,97.64,Poor,Low,1.0,,Excellent,79.0,70.0,72.0,97.0,43.0,70.0,71.83,Pass,Good
